,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework Score,Quiz Score,Final Score,Ceiling Score,Final Grade
asm59771,ashley.martin@univ.edu,2,Ashley,Martin,50.0,80,66,80,80,80,68,100,46,70,86,90,33,50,63,70,51,60,48,60,67,100,72,100,68,100,5,7,8,13,11,0.67,0.72,0.68,0.7986486486486486,0.6474076903488668,0.7211817665641196,73.0,C
lba53221,lauren.anderson@univ.edu,2,Lauren,Anderson,55.0,80,75,80,57,80,75,100,47,70,83,90,48,50,44,70,44,60,56,60,94,100,67,100,86,100,8,6,11,11,6,0.94,0.67,0.86,0.7891891891891892,0.6120091673032849,0.7422784258666613,75.0,C
kxw26270,kimberly.williams@univ.edu,2,Kimberly,Williams,72.0,80,80,80,63,80,87,100,57,70,71,90,30,50,43,70,42,60,49,60,82,100,95,100,85,100,6,6,11,11,9,0.82,0.95,0.85,0.8027027027027027,0.6256455309396486,0.7722747403629757,78.0,C
axd11293,amber.daniels@univ.edu,2,Amber,Daniels,54.0,80,57,80,77,80,95,100,47,70,87,90,44,50,58,70,46,60,59,60,68,100,95,100,88,100,7,15,16,5,6,0.68,0.95,0.88,0.8432432432432433,0.6869365928189457,0.8043782751429811,81.0,B
jxw87000,john.woodard@univ.edu,2,John,Woodard,51.0,80,68,80,56,80,71,100,69,70,60,90,33,50,56,70,41,60,60,60,68,100,93,100,62,100,11,14,11,13,8,0.68,0.93,0.62,0.7635135135135135,0.8351260504201681,0.7759432205314558,78.0,C
axc64717,alec.curry@univ.edu,2,Alec,Curry,69.0,80,76,80,66,80,87,100,59,70,83,90,43,50,65,70,58,60,42,60,65,100,78,100,83,100,9,9,9,12,11,0.65,0.78,0.83,0.8756756756756757,0.7442806213394448,0.8085544566721037,81.0,B
tce09928,timothy.edwards@univ.edu,2,Timothy,Edwards,49.0,80,72,80,60,80,87,100,49,70,84,90,30,50,49,70,39,60,60,60,68,100,73,100,71,100,6,14,6,5,7,0.68,0.73,0.71,0.7824324324324324,0.5544410491469315,0.6928052877170524,70.0,C
mjj83180,margaret.james@univ.edu,2,Margaret,James,67.0,80,63,80,48,80,81,100,62,70,89,90,36,50,57,70,48,60,51,60,85,100,90,100,97,100,8,11,9,7,11,0.85,0.9,0.97,0.8135135135135135,0.6813368983957219,0.807806474924122,81.0,B
cxn83965,cindy.nguyen@univ.edu,2,Cindy,Nguyen,51.0,80,59,80,58,80,63,100,52,70,58,90,50,50,66,70,46,60,41,60,82,100,68,100,82,100,7,10,6,10,10,0.82,0.68,0.82,0.7351351351351352,0.6407181054239878,0.7182694856812504,72.0,C
cxw68726,carol.watkins@univ.edu,2,Carol,Watkins,64.0,80,76,80,69,80,88,100,60,70,66,90,36,50,51,70,55,60,57,60,62,100,92,100,98,100,6,6,11,5,5,0.62,0.92,0.98,0.8405405405405405,0.47326457855869625,0.748195589783825,75.0,C
lxs77616,leslie.sparks@univ.edu,2,Leslie,Sparks,66.0,80,77,80,54,80,66,100,48,70,56,90,38,50,63,70,43,60,50,60,61,100,95,100,90,100,7,9,16,8,8,0.61,0.95,0.9,0.7581081081081081,0.6831270690094219,0.7686813639460698,77.0,C
bcf26283,brandon.flores@univ.edu,2,Brandon,Flores,62.0,80,52,80,77,80,87,100,45,70,71,90,40,50,45,70,45,60,54,60,96,100,93,100,65,100,7,15,11,13,7,0.96,0.93,0.65,0.7810810810810811,0.759065444359562,0.7786520657403011,78.0,C
jxj82678,jamie.johnson@univ.edu,2,Jamie,Johnson,74.0,80,78,80,76,80,100,100,66,70,85,90,40,50,67,70,36,60,50,60,63,100,71,100,90,100,5,14,16,9,6,0.63,0.71,0.9,0.9081081081081082,0.6943824802648332,0.8090579873226933,81.0,B
bgm86325,brian.myers@univ.edu,2,Brian,Myers,75.0,80,49,80,53,80,65,100,66,70,69,90,49,50,47,70,44,60,53,60,74,100,60,100,92,100,9,10,15,8,7,0.74,0.6,0.92,0.7702702702702703,0.7043926661573721,0.7544259079553197,76.0,C
lxg35058,lori.gordon@univ.edu,2,Lori,Gordon,52.0,80,74,80,75,80,79,100,67,70,72,90,50,50,51,70,40,60,38,60,88,100,96,100,76,100,9,15,12,7,7,0.88,0.96,0.76,0.8081081081081081,0.7214795008912657,0.7936870935106229,80.0,B
oxr30270,oscar.rush@univ.edu,2,Oscar,Rush,50.0,80,56,80,65,80,80,100,42,70,68,90,34,50,67,70,57,60,40,60,74,100,80,100,66,100,5,14,7,5,5,0.74,0.8,0.66,0.7554054054054054,0.514690603514133,0.6725693432164022,68.0,D
chh70562,crystal.holt@univ.edu,2,Crystal,Holt,68.0,80,51,80,64,80,91,100,52,70,67,90,37,50,43,70,45,60,39,60,63,100,97,100,73,100,9,9,14,14,9,0.63,0.97,0.73,0.7527027027027027,0.7983422459893048,0.7785837548778726,78.0,C
cxc08121,charles.campbell@univ.edu,2,Charles,Campbell,60.0,80,61,80,63,80,81,100,50,70,75,90,44,50,57,70,47,60,50,60,66,100,96,100,100,100,5,15,14,14,8,0.66,0.96,1.0,0.7945945945945946,0.7889483065953654,0.8335223298164476,84.0,B
vkb66346,victoria.boyd@univ.edu,2,Victoria,Boyd,58.0,80,61,80,75,80,99,100,52,70,86,90,34,50,51,70,40,60,50,60,68,100,93,100,69,100,9,8,6,6,8,0.68,0.93,0.69,0.8189189189189189,0.5599388846447669,0.7260492329609975,73.0,C
mxs33225,michelle.scott@univ.edu,2,Michelle,Scott,52.0,80,55,80,72,80,66,100,44,70,79,90,35,50,52,70,50,60,42,60,87,100,77,100,92,100,7,15,12,14,7,0.87,0.77,0.92,0.7391891891891892,0.7851158645276293,0.7897104350339645,79.0,C
akr14831,alexander.rodriguez@univ.edu,2,Alexander,Rodriguez,50.0,80,54,80,74,80,75,100,54,70,59,90,38,50,43,70,38,60,47,60,97,100,97,100,81,100,11,13,16,11,7,0.97,0.97,0.81,0.7189189189189189,0.8353781512605041,0.8051810129457189,81.0,B
sxs90647,samantha.smith@univ.edu,2,Samantha,Smith,48.0,80,61,80,49,80,70,100,61,70,87,90,36,50,59,70,53,60,44,60,69,100,100,100,74,100,6,7,17,5,6,0.69,1.0,0.74,0.7675675675675676,0.5738528138528138,0.7246828711828712,73.0,C
axl60952,aaron.lester@univ.edu,2,Aaron,Lester,68.0,80,74,80,77,80,89,100,51,70,87,90,33,50,48,70,42,60,41,60,79,100,63,100,68,100,6,9,10,8,8,0.79,0.63,0.68,0.8243243243243243,0.5943570155334862,0.7125368343897756,72.0,C
jxo31236,john.odom@univ.edu,2,John,Odom,59.0,80,59,80,60,80,61,100,44,70,62,90,34,50,66,70,52,60,55,60,85,100,100,100,80,100,11,15,8,9,6,0.85,1.0,0.8,0.745945945945946,0.7226890756302521,0.7776851010674539,78.0,C
rcf61653,russell.flores@univ.edu,2,Russell,Flores,48.0,80,68,80,71,80,77,100,68,70,90,90,30,50,64,70,47,60,56,60,64,100,78,100,98,100,7,8,13,9,12,0.64,0.78,0.98,0.8364864864864865,0.7154519989814108,0.8062301942890179,81.0,B
mat59156,michael.taylor@univ.edu,2,Michael,Taylor,58.0,80,60,80,50,80,72,100,46,70,68,90,37,50,49,70,47,60,36,60,91,100,68,100,66,100,5,15,13,12,5,0.91,0.68,0.66,0.7067567567567568,0.6986121721415839,0.7047863543451779,71.0,C
cxw91147,courtney.wolf@univ.edu,2,Courtney,Wolf,80.0,80,79,80,66,80,63,100,56,70,71,90,48,50,43,70,52,60,43,60,88,100,86,100,62,100,10,15,9,7,9,0.88,0.86,0.62,0.8121621621621622,0.7377005347593583,0.7691750252926723,77.0,C
axd31221,angela.dunlap@univ.edu,2,Angela,Dunlap,49.0,80,73,80,71,80,75,100,62,70,64,90,41,50,66,70,42,60,56,60,82,100,64,100,92,100,6,11,11,11,6,0.82,0.64,0.92,0.8094594594594594,0.6423121976063152,0.7594774430656783,76.0,C
mxs29840,marcia.stevens@univ.edu,2,Marcia,Stevens,51.0,80,72,80,60,80,84,100,68,70,73,90,50,50,65,70,59,60,59,60,63,100,99,100,83,100,7,15,17,10,12,0.63,0.99,0.83,0.8662162162162163,0.8701298701298701,0.8625254475254476,87.0,B
txj17476,tara.johnson@univ.edu,2,Tara,Johnson,53.0,80,74,80,65,80,82,100,45,70,59,90,48,50,56,70,40,60,57,60,71,100,91,100,95,100,6,6,10,14,12,0.71,0.91,0.95,0.7824324324324324,0.7067379679144385,0.7939943633473046,80.0,B
bxr62103,bailey.reyes@univ.edu,2,Bailey,Reyes,53.0,80,50,80,55,80,97,100,57,70,75,90,39,50,64,70,41,60,46,60,90,100,72,100,71,100,10,15,17,6,7,0.9,0.72,0.71,0.7797297297297298,0.7841991341991342,0.7706516321516321,78.0,C
